Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000112291891900602,-1.25287656198427E-07,0.0354115504494239,0,0,0,0.991554077905459,0.00192448180742961,2.11283432281884E-09,-1.9020496735887E-06,0.00191951240631999,-5.33524232356615E-10,0.00288631092848907,0,0,0,0,0,0,package://scara2/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://scara2/meshes/base_link.STL,,Assembly_base1.step-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,0.00165767401571816,1.70896040458036E-06,0.123818843567704,0,0,0,0.397517073105265,0.000945090317181285,9.83848509068284E-11,3.9154121232617E-08,0.000908367870173029,-1.6807384958521E-09,0.000688766811998084,0,0,0,0,0,0,package://scara2/meshes/link_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://scara2/meshes/link_1.STL,,Assembly_base2.step-1;Assembly_threaded_shaft.step-1,Origin_joint_1,Axis_joint_1,joint_1,revolute,0,0,0.127,0,0,0,base_link,0,0,1,0,32.463,-62.832,62.832,,,,,,,,
link_2,0.0387315248591735,-3.38160608510492E-08,0.0169513306678338,0,0,0,0.584294876980268,0.000702113863846578,-1.74180314512459E-09,3.46510070116096E-06,0.00508595932378152,1.19036919660062E-10,0.00573417672422795,0,0,0,0,0,0,package://scara2/meshes/link_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://scara2/meshes/link_2.STL,,Assembly_arm1.step-1,Origin_joint_2,Axis_joint_2,joint_2,prismatic,0,0,0,0,0,0,link_1,0,0,1,0,0.03875,0,0.2555,,,,,,,,
link_3,0.0621958225453788,0.000134468372637445,0.0436225382639119,0,0,0,0.513779139152664,0.000574442937270625,-4.4302912966142E-05,-1.4609410771928E-05,0.00188020009669945,-4.86986597248863E-05,0.00168259059667376,0,0,0,0,0,0,package://scara2/meshes/link_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://scara2/meshes/link_3.STL,,Assembly_arm2.step-1,Origin_joint_3,Axis_joint_3,joint_3,revolute,0.2,0,0,0,0,0,link_2,0,0,1,0,32.463,-2.3562,2.3562,,,,,,,,
link_4,6.84486187987887E-05,0.000125134010229794,0.0614990081693007,0,0,0,0.131330963227228,0.000733194248876672,-1.05578097244272E-07,3.73650183858415E-08,0.000733071754853273,-6.84813676740476E-08,1.17289819499542E-05,0,0,0,0,0,0,package://scara2/meshes/link_4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://scara2/meshes/link_4.STL,,Assembly_axle.step-1,Origin_joint_4,Axis_joint_4,joint_4,revolute,0.15,0,0,0,0,0,link_3,0,0,1,0,32.463,-62.832,62.832,,,,,,,,
