Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0312181080670715,-0.0334669780988594,-0.0578218547916156,0,0,0,0.991553024814628,0.00192448076414443,3.88978492965056E-10,-1.9021143982621E-06,0.00191951034718875,-4.5832416130843E-10,0.00288630780270429,0,0,0,0,0,0,package://scara/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://scara/meshes/base_link.STL,,Assembly_base1.step-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,0.00172917182975192,0.139396211973665,3.33066907387547E-16,0,0,0,0.380691277343991,0.000867489103437293,4.18755318646343E-08,-2.71050543121376E-20,0.000688098984738763,1.68789441430779E-13,0.000830767097364369,0,0,0,0,0,0,package://scara/meshes/link_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://scara/meshes/link_1.STL,,Assembly_base2.step-1,Origin_joint_1,Axis_joint_1,joint_1,continuous,-0.03133,-0.033466,0.019267,1.5708,0,0.78682,base_link,0,1,0,0,0,-3.14159,3.14159,,,,,,,,
link_2,0.0387315298598948,0.0319513315645544,3.34457413448536E-08,0,0,0,0.584294845237385,0.00070211387685335,3.46512571243546E-06,1.72393732920722E-09,0.00573417647994412,-1.17884429292898E-10,0.00508595907643947,0,0,0,0,0,0,package://scara/meshes/link_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://scara/meshes/link_2.STL,,Assembly_arm1.step-1,Origin_joint_2,Axis_joint_2,joint_2,prismatic,0,0.255,0,0,0,0,link_1,0,1,0,0,0,-0.255,0,,,,,,,,
link_3,0.0621958216098636,0.0586225301105565,-0.000134467499421989,0,0,0,0.513779222985854,0.000574443033030036,-1.46094068145259E-05,4.43029173842719E-05,0.00168259059031408,4.86986642168209E-05,0.00188020009012022,0,0,0,0,0,0,package://scara/meshes/link_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://scara/meshes/link_3.STL,,Assembly_arm2.step-1,Origin_joint_3,Axis_joint_3,joint_3,revolute,0.2,0,0,0,0.031534,0,link_2,0,1,0,0,0,-1.5708,1.5708,,,,,,,,
link_4,0.000142599190301643,0.0603589523875112,-3.05779894943514E-06,0,0,0,0.131330963776556,0.000733010954054825,-4.0731693013925E-08,-1.4297939083239E-10,1.17289819321792E-05,6.65332240095673E-08,0.000733255067821208,0,0,0,0,0,0,package://scara/meshes/link_4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://scara/meshes/link_4.STL,,Assembly_axle.step-1,Origin_joint_4,Axis_joint_4,joint_4,continuous,0.15,0,0,3.1416,-1.1272,3.1416,link_3,0,1,0,0,0,0,0,,,,,,,,
